3000 17233
1021 1088 11
1505 2553 25
2808 2879 28
15 2211 20
1358 2208 24
1780 2664 20
754 1950 10
409 2709 22
1538 2103 34
554 2917 24
861 2452 16
221 1744 21
930 2308 25
819 2153 10
725 959 21
852 1981 27
946 2904 22
1881 2206 30
824 1918 17
1372 2766 38
117 2385 27
1395 2035 23
258 2964 31
216 1771 21
629 2395 15
686 1644 34
1125 2330 31
87 991 38
1367 2016 19
906 1940 37
1857 2678 19
271 2428 36
1961 2242 17
632 1441 14
747 1707 30
2168 2714 25
461 2702 32
255 554 28
624 1286 13
758 1335 28
739 870 45
627 1114 11
281 636 33
952 2839 36
1247 2908 42
1115 1737 28
1916 2078 26
1977 2199 27
466 808 27
780 1988 29
415 918 27
88 1763 26
2063 2919 26
1083 2142 14
366 1184 43
1802 2365 22
1981 2117 16
2107 2625 17
447 1939 34
2046 2127 29
1078 1901 14
74 1502 10
328 371 23
1060 2269 36
14 1826 19
1664 2190 18
641 2782 11
1330 2018 34
40 1800 44
689 1481 14
114 577 21
2513 2952 31
26 2577 47
475 1931 26
8 373 22
1614 2695 26
56 312 34
1520 1992 34
1024 1155 11
1406 2069 35
939 1702 6
835 1210 42
983 2293 33
1438 2954 33
1233 2969 19
1468 2862 25
1482 1501 28
2472 2999 29
1371 2144 30
269 2732 22
2446 2777 17
1514 1564 16
1475 1777 34
1346 2037 29
603 2700 34
2310 2872 16
2122 2642 26
416 800 15
1372 2742 44
124 221 23
1264 1600 30
864 2276 33
2605 2785 27
948 1867 9
678 1581 35
170 660 37
38 2623 9
962 2737 25
1433 2714 39
2605 2995 22
1211 2026 13
2111 2914 37
651 1058 7
775 1896 27
2373 2637 25
899 921 34
1458 1735 37
1499 2869 29
1276 2549 22
582 1775 8
384 1044 19
79 1917 31
456 467 22
1012 2629 40
1033 2046 10
1200 1551 35
1283 1327 26
1334 2502 37
1604 1963 15
1925 2839 36
991 2867 35
1660 2537 26
1500 2371 42
730 2076 31
1437 2075 16
2814 2911 25
1742 2134 21
1000 2499 10
203 1070 42
198 1423 27
1680 2055 17
994 1292 14
2034 2865 30
904 2614 20
963 2345 3
715 836 16
1248 2660 20
754 1660 31
767 1202 6
300 2833 11
1319 2068 11
578 1400 29
1628 2340 28
112 747 20
863 878 44
2170 2981 19
1692 2031 28
735 2267 38
1526 1638 23
29 2209 15
2394 2558 36
318 1094 9
1094 2548 32
1354 2903 31
83 394 22
330 343 28
570 1834 8
462 1035 44
292 2234 19
1222 2407 25
363 2801 33
2342 2707 1
1327 1402 32
2105 2405 32
802 1902 23
185 1584 3
608 1142 48
105 1896 5
130 748 46
1547 2346 27
1753 2023 36
1028 2318 19
573 1035 29
1380 1644 40
767 1882 7
1147 2386 48
669 2570 23
733 2384 13
2146 2637 21
829 2163 21
496 678 25
971 2041 32
947 2862 10
186 1773 27
612 2736 24
816 1597 12
60 1182 28
901 1024 28
2060 2106 11
155 2103 31
1274 1601 32
1023 1981 31
1204 2668 35
891 1495 33
803 2468 27
1453 2573 26
122 2236 22
469 515 37
2148 2818 5
854 2316 30
22 413 14
32 2300 26
854 2830 22
2484 2632 13
1459 2989 24
1866 2989 27
843 2860 31
176 213 36
850 1821 39
29 2086 42
882 1927 33
105 1899 23
245 2106 7
67 1073 27
623 1853 14
83 1302 8
353 2887 15
2227 2658 30
2258 2353 19
381 2238 30
2356 2937 20
2 1674 30
9 2434 30
299 542 10
621 1531 6
88 2040 26
556 1579 21
1116 1471 39
1133 1964 29
1022 2069 9
136 1522 28
1419 1617 19
1166 2858 26
1402 2204 11
1695 2678 11
117 1418 24
1054 1316 13
1598 2644 36
1667 1903 24
2464 2492 15
1986 2501 20
1444 1940 25
405 1121 7
200 941 20
492 546 35
328 548 21
2363 2710 27
622 2099 22
2030 2268 14
551 1490 11
1536 1901 25
715 2656 16
2145 2771 30
1420 2447 35
24 1983 26
71 1338 20
499 1039 18
232 748 38
731 1854 11
1059 1352 29
990 2092 14
2165 2192 38
2146 2701 32
333 2763 48
809 1982 28
717 1251 29
114 411 30
911 2894 28
1801 2377 43
591 961 26
1334 1558 32
232 1140 40
1184 2588 7
930 2637 26
1361 2810 37
586 2653 18
250 2897 19
617 1684 27
828 2754 19
266 2459 25
2129 2425 36
2375 2839 24
1180 1208 24
2820 2886 19
318 1183 26
2380 2645 32
1006 2113 25
675 1927 30
929 1546 26
77 395 28
139 1627 24
168 2780 48
1262 2628 28
2614 2908 18
1546 2833 25
1974 2615 36
2194 2987 30
139 1643 5
1951 3000 26
1929 2129 31
471 608 46
2236 2402 20
1966 2873 25
1499 1814 21
455 2248 16
373 2608 34
402 783 30
1487 2060 15
218 785 15
1265 2800 12
144 387 21
956 1733 20
841 2902 23
886 2995 33
580 1314 28
192 865 45
740 2942 29
422 641 39
115 2345 29
2339 2913 26
1710 2647 17
449 2979 44
1003 2881 30
1407 2517 18
1342 2128 32
60 1823 33
1182 1718 15
425 630 26
2135 2328 14
520 2151 24
856 2478 24
1539 1984 10
2706 2819 25
990 2342 30
133 347 32
2410 2710 14
213 1625 40
142 1393 16
883 2090 30
10 1785 21
345 1417 28
471 2348 27
905 2369 26
1394 2681 33
1001 1425 29
252 1187 21
1904 2196 24
742 1849 21
2253 2518 36
834 1255 28
187 2076 13
235 1099 16
2047 2456 37
2175 2204 14
1391 1813 50
707 2425 32
431 1262 29
964 1094 36
1981 2889 11
1693 1776 33
594 2752 33
101 1847 15
1133 2867 34
2114 2647 11
966 2456 31
709 1176 33
1400 2959 33
1013 2393 34
1333 1974 29
819 1629 27
1928 2560 11
309 2628 28
160 2225 31
784 2991 19
159 1275 34
80 664 24
549 2621 31
692 1401 30
539 2429 15
1617 2689 17
2005 2188 27
2070 2460 40
1764 2039 16
335 532 31
1540 2897 14
475 2657 26
519 1445 29
151 2606 29
1255 1302 37
775 2826 29
802 2067 24
1965 2738 31
1927 2637 25
2838 2948 25
1896 2444 25
301 2501 31
567 1922 30
1183 2981 17
1523 2642 17
388 1885 21
810 1347 38
2358 2382 40
1379 2703 28
160 2912 35
152 309 23
1304 1565 28
430 1879 34
490 1325 33
555 833 41
