2000 11516
1386 1729 17
414 834 26
234 1487 50
1451 1780 31
804 991 34
668 1929 42
14 1248 29
1339 1869 36
467 718 37
1702 1898 16
301 1421 15
307 404 17
153 1139 46
573 1754 37
91 1019 41
47 1524 34
452 1928 42
628 833 22
204 767 39
545 1161 38
54 1756 13
847 1145 39
726 1383 29
1589 1738 50
312 863 31
384 627 11
694 741 48
34 1075 28
272 452 30
731 1460 42
1768 1802 50
56 855 17
514 1921 40
63 1130 39
12 1602 45
1662 1975 38
374 475 10
26 1655 31
122 1812 15
842 951 13
88 1254 41
252 1083 17
905 1029 45
298 890 47
1229 1970 44
767 1350 36
464 1919 38
969 1812 14
566 843 23
1291 1884 42
101 192 23
1709 1728 14
79 1989 42
356 456 30
988 1353 26
316 793 34
16 499 36
1279 1976 57
247 719 31
42 1794 34
693 1558 30
89 1771 11
871 1355 33
602 1408 44
940 1331 39
127 430 13
129 241 27
805 948 30
1370 1620 33
1220 1921 34
645 1977 26
107 1581 36
494 536 39
310 1095 2
619 1348 6
1430 1724 36
170 537 51
392 559 24
742 1946 20
371 420 32
996 1236 26
596 852 49
835 1267 37
117 146 41
430 1262 34
559 1026 43
388 922 27
379 572 12
964 1685 18
66 852 45
512 678 15
194 1231 37
1626 1747 11
435 442 24
926 1645 8
50 1214 41
882 1000 34
1797 1800 11
99 325 19
870 1750 19
428 798 27
573 1966 40
142 337 49
623 1542 18
185 911 18
952 1748 35
83 1629 40
1062 1584 37
393 1770 38
46 1402 43
505 610 36
197 412 29
1093 1885 21
554 1773 25
122 1785 29
1793 1903 30
1545 1972 17
522 1246 31
76 1738 17
1741 1959 33
421 1286 37
893 916 31
350 476 36
679 1064 31
107 1065 24
530 1280 42
772 1959 20
779 1006 31
359 1140 16
463 1931 47
114 1719 42
617 918 10
109 1475 37
1487 1937 57
1758 1917 49
676 1105 44
647 1829 30
1401 1787 43
92 1657 17
748 1591 32
1189 1390 32
1164 1939 15
930 1110 32
878 1283 27
362 1680 25
898 1748 34
1344 1431 49
1857 1918 23
51 761 18
566 766 44
870 1528 40
525 906 48
729 961 16
1255 1988 40
393 492 13
1063 1812 29
1343 1652 21
35 323 48
1818 1903 39
692 1562 40
195 494 23
1158 1904 38
1330 1836 15
373 547 69
10 187 26
541 1823 29
613 809 31
182 199 19
838 1107 11
1391 1515 17
1143 1823 20
435 954 23
346 1239 20
1390 1817 28
970 1529 24
1654 1715 22
1131 1657 6
290 1043 46
622 1000 50
1225 1818 24
143 1951 49
853 1395 46
501 1072 44
132 1022 43
518 961 68
762 1181 18
669 1650 12
330 1212 35
1360 1876 48
838 1312 12
771 1057 26
648 1537 46
570 1049 50
430 1155 31
965 1577 19
107 129 42
452 704 9
1299 1435 42
484 1395 24
55 1279 19
995 1549 26
98 552 37
76 1177 33
323 529 49
335 1946 25
124 592 8
476 1193 28
110 668 24
50 1005 27
418 958 34
1407 1506 38
499 862 38
1287 1880 37
532 1420 18
790 1594 12
868 1649 39
950 1710 51
1276 1525 37
1057 1309 24
1430 1833 21
466 1646 26
810 1915 11
1216 1854 37
370 1868 38
617 1447 33
394 1161 20
975 1551 54
1245 1494 35
410 1052 36
1628 1739 25
788 1954 38
385 1802 9
1221 1360 49
1258 1992 31
207 473 35
1118 1381 25
1009 1600 20
18 1782 29
1037 1455 26
1134 1333 44
1413 1686 4
166 1704 19
1483 1584 34
672 1213 25
34 1612 35
702 1926 30
917 1752 45
287 750 24
1342 1634 32
623 1355 5
223 1710 21
194 1815 22
120 434 29
186 381 47
388 684 25
1389 1631 22
1015 1211 21
1244 1837 37
922 1806 10
1249 1468 44
272 1303 25
1167 1686 40
103 1482 36
1242 1464 27
72 1088 9
89 454 29
513 706 21
194 1066 25
223 983 42
364 584 37
531 717 32
1178 1886 21
857 1610 52
256 1183 48
255 745 27
1200 1597 34
229 280 28
51 61 36
1775 1820 50
594 860 24
661 903 40
671 1114 32
771 920 23
255 1414 41
745 1990 38
1486 1910 33
98 1858 45
348 1138 34
1190 1383 34
723 1976 47
1287 1611 23
1377 1509 54
1239 1973 37
1458 1549 36
1255 1804 32
428 1978 19
155 1106 41
461 1821 17
33 45 4
667 915 39
927 1647 25
709 1213 49
1600 1921 37
153 331 51
1266 1625 17
1078 1844 32
821 1376 36
255 1425 28
1015 1366 29
1043 1461 28
777 1644 29
925 929 17
308 974 49
537 653 49
46 178 23
490 968 38
376 1642 29
514 1742 68
471 1842 43
