2000 11393
126 146 32
702 1105 22
1453 1677 48
359 1855 40
269 1064 25
265 1013 38
1042 1201 37
154 340 10
1212 1718 19
284 394 30
517 1811 35
1538 1758 36
1409 1593 10
1468 1627 31
1225 1580 33
1253 1937 32
512 743 34
346 572 37
188 315 50
78 773 37
249 1253 44
105 1012 13
51 911 41
90 120 46
685 1922 15
1062 1532 23
192 879 33
504 1796 21
1083 1187 50
1601 1759 29
460 1923 38
986 1990 20
276 343 28
1873 1936 44
861 1896 40
1370 1575 48
558 746 16
168 540 52
665 1331 20
321 866 36
1739 1971 47
1014 1902 19
39 1199 52
617 1169 34
331 533 18
1009 1836 20
482 671 38
738 1789 38
882 887 23
351 1489 40
725 868 37
367 1601 48
702 1952 28
84 1537 51
421 1021 36
5 1904 13
446 750 34
844 1592 43
1058 1978 37
1249 1415 42
876 1694 46
1038 1759 33
398 488 42
1228 1915 37
40 303 39
1240 1963 32
941 1960 42
172 1188 42
195 1559 35
477 886 31
194 502 36
503 1017 40
648 1064 26
465 541 15
1595 1930 23
264 1593 19
1013 1502 37
376 1025 16
1287 1336 16
224 452 55
258 330 41
1237 1608 45
700 1187 29
681 1942 15
246 978 15
502 1167 40
165 883 33
1009 1692 25
174 1136 28
312 1170 29
313 1461 37
475 1827 39
541 1190 6
75 221 20
302 633 15
262 1130 8
789 1414 12
271 1223 14
65 1031 47
442 1531 38
1340 1768 40
287 854 39
526 589 39
424 1266 23
295 1681 16
309 1421 37
1295 1793 22
1381 1585 43
264 1414 30
950 1295 9
311 521 37
1633 1880 38
242 377 39
263 1358 17
386 1972 39
266 648 30
785 1236 41
405 1771 19
517 1087 70
578 1723 22
933 1456 14
623 1106 23
185 1139 3
267 1255 38
749 1357 34
19 1288 15
459 1265 16
695 1535 33
1068 1851 33
912 1911 37
290 1208 16
1182 1517 23
695 1611 28
343 1382 34
924 1374 52
491 723 15
962 1216 26
377 1162 41
894 1435 47
435 1244 28
910 1492 32
342 543 26
291 1868 35
247 1121 50
136 1066 41
246 1736 33
35 323 48
99 734 28
1185 1309 31
602 1286 26
181 1285 21
234 430 9
722 1430 13
516 562 29
484 514 33
326 1097 23
563 1854 47
947 1906 36
614 867 33
508 1720 9
923 1711 40
864 904 32
131 624 30
632 1386 12
1780 1924 36
468 1749 14
1578 1940 40
1445 1511 57
911 1525 47
612 1326 1
305 347 35
270 1112 37
649 1929 19
703 1949 28
252 742 25
563 1861 63
82 1955 3
727 1160 39
122 583 12
1196 1377 41
997 1120 28
1528 1777 33
577 1735 20
47 1455 26
994 1369 34
758 1485 27
315 517 60
357 507 41
49 772 24
1143 1963 13
368 967 13
694 1090 28
1365 1553 26
362 1424 31
71 128 45
1265 1843 39
1174 1848 14
308 448 31
34 1008 29
248 595 47
1301 1439 44
260 978 32
1403 1675 27
146 155 42
105 1192 12
94 1290 38
446 1208 28
159 375 30
678 1340 28
460 1944 44
873 1103 9
135 1176 29
519 631 28
804 1484 11
908 1860 29
406 582 38
565 1766 38
1040 1768 50
406 1868 21
168 334 15
1549 1986 43
920 1002 39
127 1994 32
44 1800 53
713 1748 15
1804 1833 51
47 163 22
291 1008 24
325 690 48
16 638 34
1446 1518 32
1582 1834 18
1935 1955 7
390 1011 40
1874 1916 19
918 1397 22
620 794 41
1012 1192 20
1649 1956 34
355 1627 6
830 850 51
1325 1889 29
402 1750 37
179 1986 19
738 1957 40
1726 1744 39
660 1046 28
58 1362 44
1295 1749 34
176 1571 45
438 1261 35
1350 1374 44
296 1139 41
1806 1904 36
881 1845 12
1368 1432 29
228 1671 37
1160 1562 21
284 1864 29
724 1205 25
166 255 4
291 304 42
1167 1838 6
1478 1499 48
1392 1751 33
628 1327 35
508 895 32
931 1112 36
35 987 26
331 1195 16
145 1405 37
132 983 36
1397 1775 39
497 1959 32
594 1239 33
755 1836 5
120 1014 41
601 959 29
189 1444 25
829 1922 27
836 937 31
1069 1850 45
147 1109 9
486 1968 16
276 462 19
1571 1967 27
556 600 21
424 1951 22
552 1614 42
954 1546 37
21 471 26
282 889 25
395 910 40
1265 1769 11
1292 1686 60
966 1020 32
1273 1379 24
1530 1840 44
905 1224 31
32 1876 32
720 1650 27
439 1273 28
1114 1880 12
