2000 11461
103 1749 13
764 1978 35
1386 1671 12
836 1251 30
184 1447 29
695 1567 37
92 1842 41
1642 1850 29
53 475 24
1241 1689 36
1681 1794 18
173 1499 37
1427 1581 37
542 1706 45
410 1533 12
424 1814 41
325 1285 32
477 1816 33
1815 1912 25
357 1470 33
172 1572 19
14 935 40
507 1982 4
254 1869 42
428 1935 36
460 1224 37
365 1303 31
322 1724 30
882 1530 8
429 1067 21
560 684 34
532 1700 17
1224 1723 34
931 1507 13
265 789 13
643 932 20
150 1782 19
1705 1719 24
675 1904 48
136 1470 38
1306 1423 40
855 1209 27
1274 1574 48
761 841 25
812 1656 46
65 397 41
609 1790 38
1296 1703 19
67 1446 41
747 1438 40
688 1531 23
1549 1658 38
17 1690 8
183 1637 31
1275 1580 8
62 774 40
777 951 21
864 1512 51
1088 1151 18
1128 1873 35
576 1239 43
988 1383 26
507 1725 31
999 1585 19
1912 1960 32
684 1418 33
167 1518 43
371 714 21
243 334 33
1395 1842 48
1291 1364 19
1244 1284 35
285 1762 38
183 412 41
283 1271 36
397 817 48
199 1959 31
187 1890 37
1174 1238 26
907 1209 46
567 936 25
349 1891 39
25 1425 29
1158 1544 29
1673 1731 32
124 1213 3
211 1898 12
724 1161 35
1445 1558 22
1483 1486 36
1153 1430 26
161 1017 18
643 1771 27
376 721 32
461 1409 18
7 387 43
554 1817 31
815 1049 55
922 1313 35
697 1596 37
1138 1677 39
299 929 29
1188 1449 16
1080 1142 26
997 1868 40
515 1604 39
345 1291 52
1600 1671 36
261 457 36
158 1780 39
313 1227 48
531 1418 37
713 1703 28
558 1196 39
352 1818 29
978 1416 26
1102 1294 4
1168 1196 20
465 1011 34
295 1908 35
1182 1357 34
440 1317 30
640 1013 37
782 1931 26
1542 1671 37
223 1482 34
1148 1908 19
183 356 14
902 1411 33
243 417 57
963 1292 52
656 1357 58
1505 1794 15
1720 1901 43
120 1294 40
369 1778 54
545 1425 32
91 779 17
766 1047 10
88 1287 18
458 775 17
1324 1468 51
419 726 35
1217 1813 41
453 971 55
627 1575 34
269 310 49
655 1887 31
889 1286 23
508 1542 30
483 1621 64
1084 1904 30
30 509 41
1059 1283 37
625 1093 37
1294 1462 29
190 1899 26
75 1655 28
437 1523 6
996 1258 16
789 1172 37
998 1113 36
1474 1669 45
624 934 17
344 1978 38
111 1124 29
1661 1834 23
517 1362 35
33 452 33
662 1040 37
769 1759 41
389 462 11
1228 1229 34
104 1399 39
1181 1963 38
373 903 10
426 1462 18
527 1424 21
590 1602 28
950 1282 42
193 1329 28
1110 1724 11
517 1756 46
190 1436 49
1760 1792 41
1468 1473 63
763 1866 37
579 1272 21
1245 1305 42
1476 1689 28
159 1265 30
1187 1274 20
33 1988 19
1735 1797 45
