1000 5754
309 829 32
28 779 55
364 946 66
103 136 49
843 851 25
588 1000 19
728 729 51
132 624 63
319 529 53
355 579 63
598 981 53
308 339 33
937 940 32
833 884 23
298 342 57
162 726 72
576 741 46
38 342 54
246 745 23
201 578 64
112 340 20
694 947 45
470 709 46
5 216 50
754 904 35
156 363 64
77 119 51
240 916 41
284 541 39
186 512 31
304 725 33
53 299 53
95 712 50
212 261 11
752 872 31
425 673 31
177 265 25
769 821 42
518 677 41
460 825 21
402 878 53
466 752 57
602 928 63
436 775 33
6 141 41
300 616 54
356 990 34
586 766 28
411 627 24
468 995 78
33 813 50
620 864 58
328 748 56
821 891 47
11 833 34
189 268 31
223 615 62
462 947 52
375 581 25
98 125 82
253 994 22
141 699 37
602 880 35
766 777 28
127 584 75
530 687 63
6 538 40
472 682 30
377 820 48
246 457 9
928 951 68
85 532 63
183 868 17
88 785 36
99 366 46
182 419 22
34 636 23
121 784 56
477 572 45
412 500 63
396 828 61
281 345 47
103 211 49
69 847 18
493 925 55
223 956 58
390 815 18
499 696 29
615 994 47
748 979 53
4 517 60
55 69 58
223 528 25
728 739 70
209 572 52
560 614 47
561 727 42
297 792 79
314 896 28
301 619 92
93 469 67
357 769 41
65 947 28
245 280 69
283 480 17
305 699 49
155 610 50
549 947 17
670 953 64
185 920 52
346 470 57
154 671 33
27 106 30
820 927 62
808 903 51
292 960 31
293 396 43
370 449 61
440 737 73
681 709 41
718 824 56
779 838 55
153 385 32
352 395 26
50 650 41
219 507 51
407 850 5
75 594 51
92 161 24
467 536 47
244 791 42
752 810 26
776 946 58
173 883 78
699 901 19
100 873 75
320 583 48
545 743 64
241 610 29
25 127 47
114 840 31
265 475 12
380 500 46
330 626 58
275 307 38
324 882 49
275 709 18
647 792 76
12 916 27
483 909 72
29 268 48
108 791 32
342 761 62
14 761 62
170 504 63
95 125 28
743 870 73
246 492 45
242 766 27
239 630 50
441 792 63
649 719 16
20 332 2
309 378 28
492 639 39
584 750 64
432 631 44
97 776 52
773 809 54
312 982 59
180 193 23
428 439 54
279 895 47
180 895 66
598 697 41
220 805 30
833 937 47
186 537 10
644 825 18
153 679 50
105 919 40
233 239 48
78 616 42
93 513 71
117 784 62
384 873 56
461 860 5
289 791 34
463 690 36
767 958 53
128 321 63
83 911 46
766 899 35
284 815 25
232 845 39
326 611 53
180 698 36
232 720 44
130 987 62
194 316 37
616 953 21
15 804 55
405 618 70
338 431 46
89 360 22
54 682 36
478 733 38
475 603 48
135 619 45
488 942 51
90 811 23
137 189 24
191 831 91
659 787 21
466 872 27
337 775 44
175 429 44
434 607 33
42 338 56
148 367 21
34 838 36
155 801 36
213 308 21
552 569 49
167 363 57
569 704 65
36 174 47
422 592 43
249 299 10
318 597 67
180 879 43
284 851 58
99 214 32
144 582 18
145 362 39
132 840 66
148 808 6
600 620 63
40 268 60
722 993 52
646 897 15
301 435 69
114 423 40
802 916 38
117 632 30
28 190 51
271 336 48
129 691 39
169 674 44
36 883 89
468 669 31
657 807 55
708 774 9
697 793 65
262 847 48
130 535 61
417 472 63
951 976 59
342 961 16
304 356 19
11 740 50
30 118 37
185 685 40
676 714 16
105 359 51
570 791 67
156 401 37
86 336 33
829 866 49
788 879 49
761 944 63
246 359 55
96 638 38
117 974 49
386 424 47
100 384 62
22 131 50
305 574 43
158 759 15
79 254 48
354 458 42
282 597 42
397 984 27
35 311 66
25 618 31
703 960 51
176 614 48
244 875 25
359 639 48
236 495 43
827 933 37
4 834 11
37 39 49
194 336 47
427 431 41
184 523 64
436 761 58
461 519 22
86 226 49
426 841 36
324 621 34
90 656 32
147 300 55
250 855 14
410 945 33
195 979 42
285 892 54
184 763 59
537 764 14
45 797 44
669 752 58
8 599 31
774 785 50
390 631 50
360 823 27
878 993 26
41 564 53
977 1000 44
569 865 51
537 727 24
382 487 26
77 109 49
593 669 81
