3000 17240
2663 2846 27
1103 2499 10
564 675 21
695 2088 32
598 1191 35
1627 2777 33
1775 2599 17
379 1557 31
1553 2153 19
231 473 13
224 1149 21
900 1619 24
662 2757 3
22 2102 15
602 2591 24
1087 1723 18
1087 2757 9
1673 2276 8
169 2550 27
2176 2262 28
9 981 13
884 2816 6
633 1721 12
1043 2455 28
2812 2933 26
705 2510 38
499 1911 13
1774 2659 41
1771 1844 35
956 1326 15
99 1731 31
2246 2983 18
206 317 12
282 2610 31
863 2096 5
341 784 19
1289 2245 14
461 2979 17
387 725 49
246 2749 17
313 1337 12
1893 2998 7
317 1704 26
1249 2156 27
352 2958 30
506 1102 11
1119 2856 4
209 1821 34
776 1668 39
157 2733 22
617 2891 12
727 2964 14
18 1340 30
48 1716 40
1819 2077 33
1222 1230 23
347 2790 20
1713 2702 3
1759 2468 32
250 2434 31
970 1533 37
1638 2859 35
368 687 25
2407 2552 15
276 1574 11
1149 2840 21
1659 1797 7
681 723 29
67 2092 31
2225 2370 35
258 2727 37
341 966 36
283 672 24
766 1093 33
330 1038 42
43 2057 24
1106 1423 36
616 2188 13
14 1479 32
126 495 27
927 1787 18
190 966 21
332 2280 10
621 2173 23
1051 2719 26
827 2958 9
988 2329 12
953 1929 37
1112 2120 47
1609 2316 34
2159 2293 28
208 1622 42
1462 1885 30
1347 2562 2
2431 2453 35
133 1638 11
1689 2314 33
813 959 34
1997 2645 13
1446 2208 10
206 209 24
2338 2939 37
115 493 7
623 1216 20
77 526 38
590 615 16
1248 2926 18
296 2961 47
284 913 32
2024 2761 10
427 2470 32
54 1651 30
878 2474 6
8 1687 16
521 1197 8
785 1412 25
1068 1696 25
1463 2233 43
984 1628 37
2561 2661 31
674 2838 26
2165 2563 6
450 2480 19
174 1752 31
1277 2264 35
154 2550 10
817 1118 28
1839 2498 19
2417 2717 25
678 2724 26
1586 2563 13
2445 2573 8
1061 2351 27
858 1634 32
185 2875 24
1068 2506 15
73 850 49
348 2231 15
1028 1714 13
1323 2001 6
1924 2009 33
1965 2546 35
844 2390 36
238 2559 34
1251 1811 16
963 2558 3
1253 2365 37
1354 2086 38
244 2517 33
1439 2874 30
1247 2497 29
18 979 13
1000 2446 12
833 841 29
1110 2758 30
1344 1649 30
1003 2392 2
1342 2673 32
81 2293 26
935 2509 12
298 931 10
1592 2495 19
567 1320 28
353 2188 28
