3000 17178
1760 1813 32
213 2323 31
1654 2282 14
365 821 15
1808 2207 31
1597 2372 20
999 2984 28
1172 2754 24
625 752 39
262 2498 21
1544 1839 14
1702 2118 19
776 2622 24
364 1996 38
227 2500 26
1187 2795 34
2305 2754 16
544 1186 30
52 2515 31
1343 1753 31
704 894 15
2031 2280 23
1731 2744 31
796 2024 19
411 2632 15
235 973 11
1191 1336 13
1792 2624 23
2478 2924 36
1387 2970 18
1477 2968 24
97 1558 48
147 451 33
1290 2001 31
447 1885 27
734 1119 33
298 2038 19
281 1631 32
9 689 26
703 2065 40
15 357 7
1436 2746 33
420 2242 25
600 2153 6
795 1216 23
2516 2524 23
66 526 34
1518 1624 18
147 664 33
639 736 19
454 1200 11
1136 2528 30
2622 2909 33
882 2034 36
1577 2963 35
1077 1839 14
164 1629 18
2218 2953 40
898 2943 35
844 1984 32
390 1641 18
816 2369 31
817 2460 38
880 1115 38
527 1037 28
569 1671 24
391 2657 20
575 1573 30
362 2759 16
705 2047 24
1102 1998 10
1046 2878 24
1656 1751 15
539 1573 26
2338 2597 31
1828 2799 41
538 2979 37
231 382 29
568 1912 25
777 2452 37
385 1408 27
1337 1800 15
2355 2543 37
1113 2261 17
462 702 30
784 2013 40
917 2576 23
1592 1770 33
2008 2020 26
14 2034 25
420 608 15
402 1776 22
2100 2971 28
47 2574 19
970 2463 28
398 1293 25
844 2652 23
540 1547 34
310 2085 31
377 673 26
234 2509 30
1028 2614 28
1901 2892 21
350 2665 26
34 2176 22
1425 1477 22
271 1261 27
1017 2282 12
1527 1717 37
1754 2726 22
1164 2805 19
954 1845 10
1519 1678 32
697 1643 15
540 1827 24
564 1255 33
1678 2887 25
931 1210 32
2454 2700 29
456 2730 31
1267 2657 6
2462 2617 14
654 2801 22
249 2502 30
678 2113 17
1799 2505 27
218 2705 30
2694 2832 42
2858 2945 6
316 1579 17
84 405 23
1543 2465 24
469 528 17
816 2706 43
678 1451 46
1209 2986 34
2268 2542 30
269 797 20
261 2498 20
543 1269 27
1222 2400 9
1562 2618 7
940 1830 29
1104 1591 6
1199 2490 21
1436 1530 24
369 1654 29
238 942 15
2129 2366 6
831 2253 19
518 2350 19
137 915 31
335 812 30
208 2587 27
186 797 28
2441 2525 26
2657 2846 33
771 2829 38
255 1169 34
684 1665 31
1828 2252 6
1611 2090 25
475 2458 27
176 2877 26
102 1242 36
453 2344 11
635 786 23
1828 1948 9
289 2421 29
557 2492 23
111 2747 39
976 1881 32
2552 2773 26
1973 2742 21
2374 2818 30
523 2286 29
703 2398 37
2502 2701 16
942 1260 25
1150 2596 27
199 2165 28
772 2309 12
682 798 17
6 976 24
86 1241 40
168 852 20
1935 2975 21
2514 2540 22
958 1546 18
10 179 31
964 1685 31
2088 2991 8
641 2457 38
2413 2673 27
346 571 16
1238 1658 31
1417 2109 26
12 2209 15
413 1863 35
1130 1657 47
62 2597 32
446 2866 19
682 1231 20
899 1675 41
1072 2422 19
580 2926 24
430 514 9
711 2986 25
1588 2954 26
669 1848 38
710 2586 30
2098 2791 31
511 2210 29
1580 2781 21
2207 2790 34
1466 2112 33
590 938 22
35 495 34
564 2912 29
478 1167 7
672 2255 13
708 2609 20
190 1076 40
102 2116 24
2533 2629 24
1089 2128 43
541 2117 5
1181 2668 16
99 780 23
1075 1800 37
898 2722 11
1449 1682 35
776 1743 13
998 2106 13
314 1221 14
2295 2965 25
1091 1293 30
1214 2227 30
342 763 29
1525 1554 34
1760 2580 17
1165 2664 15
1737 2604 28
863 2919 30
1768 2173 22
1397 2807 23
1270 1920 26
1464 2212 11
494 1887 49
1408 1932 39
909 1985 25
240 2930 28
134 2205 30
57 2975 23
469 899 40
53 2621 35
537 2214 10
808 2079 15
609 1307 14
1011 2460 24
1335 2485 32
330 1905 16
1598 2709 17
902 2302 32
7 2575 12
1027 1412 27
937 2056 13
2594 2791 8
180 731 24
681 2744 32
145 453 6
234 2246 9
277 1199 18
746 861 27
1518 2720 27
31 1842 16
257 2097 3
1266 1941 36
801 1437 30
243 1879 30
2753 2860 28
179 2762 36
2383 2431 31
1958 2999 13
2335 2784 22
2364 2883 16
2388 2793 28
704 2935 30
122 1970 37
1638 2200 27
1780 2700 28
2004 2466 36
361 1342 16
468 1244 27
259 2139 34
486 2752 19
54 1803 22
1185 1459 32
59 1986 17
116 1864 33
487 913 39
812 1987 23
707 1856 34
117 2794 21
493 1850 32
1913 2566 19
1193 2828 26
1064 2846 30
356 2529 21
2038 2493 7
789 2035 38
1724 2813 28
1012 2891 25
1076 1690 37
1115 1853 29
273 378 39
1606 2104 31
2467 2749 22
514 1145 12
2341 2702 6
719 2755 20
744 2264 15
887 2923 40
1508 1829 23
678 2074 10
2592 2612 25
1659 2840 18
268 967 8
71 1590 32
33 833 31
1367 2944 19
1208 1894 19
1756 2836 28
761 2826 24
1055 1745 32
200 1103 31
760 2908 32
1080 2390 29
414 1511 13
1051 2671 27
1456 2197 32
445 2301 40
487 1814 9
1545 2355 23
659 2229 35
608 1534 22
1817 2690 31
1994 2812 29
1045 1629 11
211 2808 33
689 878 35
108 2567 28
1309 1727 36
613 2773 26
2054 2330 29
1358 1643 27
708 1058 34
701 756 33
31 2334 23
91 2773 12
433 1642 12
73 887 37
1124 2607 23
1399 2853 14
1662 2581 24
389 1112 25
83 2095 20
657 1464 32
2440 2447 33
193 2784 25
250 2443 27
604 1937 10
152 2290 20
317 1801 27
437 1392 7
710 1742 27
1277 2651 28
1784 2895 19
50 1548 23
148 442 19
