1000 5755
656 928 68
60 935 55
428 830 7
124 541 52
670 713 51
4 15 23
518 662 67
164 918 34
501 750 59
163 403 52
35 496 55
209 844 52
54 481 44
185 515 56
5 285 29
588 664 46
796 973 64
148 860 60
64 347 68
595 918 13
482 534 33
169 194 32
159 582 39
1 86 36
790 800 32
566 996 9
248 392 50
666 947 58
21 822 41
105 273 37
499 651 42
166 531 43
352 701 14
421 576 36
64 284 25
47 957 57
411 739 23
596 954 60
517 852 69
316 522 42
175 994 56
312 369 44
198 625 47
209 631 14
96 320 24
363 932 22
234 625 30
232 673 13
658 972 30
722 815 20
16 559 49
772 902 45
93 243 58
165 274 59
133 191 42
516 893 35
356 469 52
534 997 45
139 538 27
458 479 19
545 870 39
284 436 69
161 834 31
285 491 29
399 491 50
856 963 27
262 752 51
99 190 49
245 782 38
148 586 38
301 753 79
293 735 35
392 960 47
724 1000 49
365 442 74
510 751 60
17 525 71
405 663 68
252 612 23
84 327 48
158 942 13
238 252 65
365 958 75
112 843 40
232 387 32
505 701 42
488 690 55
422 903 26
447 949 47
362 797 41
507 794 32
541 869 44
297 822 22
581 867 30
296 951 18
47 740 44
833 946 17
312 699 15
58 192 45
611 641 52
629 926 43
635 848 58
36 330 21
83 316 47
421 795 31
233 669 48
238 610 15
214 820 68
350 638 43
472 799 52
76 466 62
483 667 55
295 717 69
40 44 42
472 575 51
170 984 31
31 756 53
145 992 17
383 586 17
280 551 30
44 486 35
949 978 50
34 149 52
106 121 48
53 278 49
95 972 59
95 250 74
278 368 36
86 172 53
353 819 45
27 823 71
440 540 30
86 749 64
636 859 31
433 603 40
13 557 57
8 648 42
169 776 24
253 620 38
273 349 64
306 500 17
337 954 58
785 873 44
94 967 54
481 903 34
711 985 71
256 557 13
688 873 40
414 492 9
220 616 37
417 623 56
401 407 14
296 315 58
460 533 38
46 476 67
218 661 45
315 858 45
368 417 56
108 818 40
300 735 56
85 666 54
344 601 56
219 691 76
475 613 23
55 76 32
508 616 41
39 216 39
316 637 22
137 861 54
597 804 32
916 978 22
158 571 17
382 838 41
496 677 46
