1000 5790
231 531 18
358 822 45
296 801 19
348 984 62
478 819 19
57 605 75
35 366 53
36 649 56
231 820 13
185 648 50
716 944 56
460 567 60
209 962 44
129 176 33
420 932 18
187 280 45
482 531 28
399 516 14
330 962 47
177 333 62
675 927 66
718 819 31
389 642 21
305 728 35
9 60 60
137 286 76
518 696 78
99 772 52
85 251 41
932 992 38
414 430 53
241 741 13
19 801 59
135 394 59
337 596 53
2 701 23
275 756 38
81 644 55
157 977 35
49 932 38
617 854 12
263 298 37
261 666 25
251 792 32
516 605 36
142 386 62
646 862 32
72 847 26
230 685 29
274 471 43
17 412 60
93 831 43
174 314 54
518 536 51
773 781 45
430 433 20
243 385 68
271 461 54
177 952 42
325 578 7
311 856 40
352 393 8
537 708 51
61 468 19
42 782 33
356 538 44
22 376 24
302 456 48
640 937 55
67 311 91
137 160 60
183 585 79
113 719 1
425 670 72
542 554 23
171 757 60
731 957 52
500 777 42
141 213 12
680 927 76
24 801 56
46 235 47
645 691 28
740 765 47
366 471 41
291 702 22
596 668 28
140 493 39
226 298 55
178 616 26
633 814 36
519 529 31
285 738 40
233 359 115
77 91 31
529 600 53
17 883 21
447 455 47
193 686 43
604 675 34
363 463 54
596 834 37
412 645 26
300 954 34
360 599 75
294 797 65
114 840 18
14 310 56
410 482 41
32 935 28
28 29 52
646 983 14
341 584 39
252 923 32
48 825 21
84 555 22
208 708 63
464 671 11
300 577 60
164 496 62
189 817 22
935 957 29
426 616 50
29 588 53
4 916 37
67 337 65
27 154 33
457 540 47
92 153 38
107 572 62
538 643 25
541 907 15
862 905 63
939 957 54
425 571 51
540 549 10
237 621 28
409 734 42
361 362 61
396 512 42
133 985 22
116 233 37
354 614 87
438 622 61
422 950 59
184 786 30
396 463 42
409 965 59
342 918 22
143 191 23
639 926 35
915 993 48
228 611 33
99 167 36
15 520 41
937 998 13
523 800 66
50 976 65
42 495 31
368 618 46
760 858 52
395 575 50
47 435 39
334 593 40
218 772 34
278 317 43
922 979 55
671 877 51
439 676 38
577 688 51
485 895 49
269 634 56
345 612 74
149 484 55
421 644 62
99 150 45
192 933 29
135 878 27
508 764 33
235 799 5
656 928 70
13 560 34
857 913 62
68 997 46
221 330 40
323 383 50
257 996 53
66 180 59
621 802 49
80 154 18
761 807 16
951 989 77
152 231 48
584 910 42
350 502 52
365 458 86
700 829 68
718 975 38
559 940 16
576 788 39
504 880 51
44 897 62
155 987 28
787 843 57
81 262 30
132 852 50
278 882 70
397 787 37
29 329 43
15 917 53
649 961 46
156 853 38
629 981 47
169 217 18
26 294 61
115 556 52
875 947 30
167 534 47
495 990 34
434 492 46
488 531 49
104 972 16
673 763 26
252 921 41
194 593 35
467 645 45
594 927 12
284 844 42
387 498 21
316 412 51
162 624 39
9 432 55
182 844 43
409 688 32
359 951 12
152 911 62
479 688 46
18 23 79
146 939 47
258 748 31
712 855 34
597 772 52
428 669 23
143 869 44
79 195 18
58 580 63
512 678 17
259 683 47
83 318 29
184 853 18
50 955 48
283 567 43
539 945 41
464 665 35
338 458 30
168 454 13
72 341 35
186 204 51
410 904 44
603 654 31
341 847 49
728 881 45
248 774 49
414 578 23
80 703 33
117 176 56
507 729 64
417 715 50
270 485 36
585 614 26
93 402 53
111 844 28
418 547 62
772 980 51
383 828 38
95 973 18
114 934 60
221 812 41
704 971 50
428 620 12
487 587 43
87 723 38
594 766 39
347 359 121
160 989 84
212 714 41
510 633 70
704 802 69
561 996 47
165 984 62
161 355 11
229 812 37
338 529 57
66 633 96
112 854 56
476 622 56
323 746 49
754 777 38
179 710 40
679 978 76
84 410 61
317 376 59
121 161 28
721 727 29
196 314 53
135 373 44
623 652 22
377 499 75
39 271 56
412 467 22
104 699 57
722 756 60
532 620 115
34 959 31
136 790 70
91 301 60
97 553 37
227 392 45
16 631 20
65 228 33
62 874 35
78 807 41
261 525 9
737 985 44
242 417 34
175 996 38
250 909 21
508 907 18
324 887 45
577 739 16
118 675 38
184 842 59
611 976 33
932 936 55
686 816 56
160 286 20
212 712 61
462 991 58
229 962 64
100 718 31
167 360 56
334 848 13
426 870 53
689 937 54
297 964 52
51 91 38
134 224 7
210 428 102
67 846 65
413 861 53
872 995 63
63 150 47
626 887 37
310 638 38
369 564 68
471 565 30
302 379 30
7 902 34
126 582 55
385 974 60
465 895 37
406 506 17
884 903 24
152 859 37
370 788 26
131 645 25
477 551 43
293 867 19
467 940 77
836 883 39
615 856 49
854 879 69
537 703 6
189 869 38
4 15 14
8 741 59
69 780 21
367 780 62
552 755 30
687 820 57
105 933 61
503 855 20
66 286 43
593 730 36
682 901 53
578 697 59
569 618 38
387 552 4
123 215 54
480 597 52
901 940 53
315 709 58
141 842 68
559 924 74
149 214 24
718 953 22
395 863 64
48 748 20
657 767 40
74 149 41
120 971 49
386 490 38
35 396 57
390 926 40
451 785 41
743 945 49
55 369 16
662 748 56
286 989 73
904 925 52
61 69 46
907 990 30
417 956 31
925 941 58
20 728 33
506 674 39
307 433 38
421 442 40
47 517 18
196 878 55
317 882 56
52 979 21
268 309 54
235 264 39
769 825 44
5 960 40
573 962 67
43 383 67
26 50 66
274 973 16
494 524 46
452 733 69
766 826 56
259 641 52
490 575 43
143 737 48
209 221 39
44 749 47
389 512 49
157 673 42
400 536 40
748 825 32
228 282 23
917 948 10
142 913 41
268 461 57
570 791 56
353 629 75
66 347 38
318 967 29
539 557 18
339 466 38
242 573 39
156 496 34
571 701 49
76 817 28
747 817 36
88 998 27
360 896 34
42 508 27
266 670 35
587 984 60
121 180 54
111 619 33
631 971 57
514 832 65
130 775 21
608 751 35
206 953 40
344 390 51
785 867 53
632 634 31
288 511 13
716 969 51
156 472 40
571 991 16
475 518 48
560 650 82
444 545 51
35 125 50
134 351 21
197 691 53
285 449 49
123 685 58
319 342 20
80 408 76
438 787 36
653 714 35
440 885 43
296 631 17
352 380 32
257 902 44
294 976 58
831 983 33
587 745 33
316 467 31
156 254 59
389 804 21
386 640 37
53 875 30
844 963 39
887 916 45
158 883 29
39 772 44
197 924 8
246 382 30
338 889 55
284 546 55
697 914 36
913 917 61
505 696 65
262 644 80
452 944 65
485 584 31
698 834 53
331 696 81
722 862 57
98 447 58
668 1000 14
299 372 36
816 961 19
77 937 45
66 951 110
316 691 58
12 189 39
865 870 7
240 374 59
420 445 29
794 799 49
667 793 40
283 622 36
