2000 11471
162 1917 34
1110 1840 10
1344 1896 43
119 168 41
908 1061 39
379 1557 31
928 1337 25
889 1059 46
470 787 17
1751 1874 21
415 428 42
227 425 31
1004 1687 13
1395 1639 23
1260 1719 4
75 928 31
596 871 36
39 1033 43
25 434 32
715 1874 46
1185 1572 39
315 878 11
1185 1952 31
504 1739 39
1172 1967 31
67 1884 25
710 1090 33
1320 1572 17
435 1914 23
532 552 32
793 882 5
1252 1312 40
982 1764 32
1382 1745 33
259 1877 36
828 1816 31
1060 1975 47
848 1183 32
301 630 51
956 1059 21
1160 1857 33
1592 1638 22
993 1729 29
1356 1573 27
447 677 41
703 1955 30
802 1184 40
125 320 29
1282 1791 36
1524 1777 50
1438 1549 18
844 1916 19
407 589 17
1047 1806 31
138 1079 29
709 1654 34
316 1055 34
1321 1551 25
33 1682 15
127 1471 44
46 1289 32
536 823 35
224 1003 37
609 966 42
45 610 40
178 199 46
1340 1389 31
574 1247 18
1331 1455 18
288 786 40
571 874 41
560 566 55
441 499 26
1 132 44
554 1359 22
104 1041 6
746 1850 44
132 1863 41
262 438 37
82 1829 27
379 892 17
365 1394 24
530 1891 62
672 1648 19
1007 1140 9
1973 1998 35
1052 1386 32
976 1254 42
1213 1313 24
737 1816 36
761 1680 19
984 1267 31
834 1009 38
113 510 40
586 1272 8
8 821 23
79 112 18
352 1305 20
287 641 39
303 1507 21
726 1105 47
135 1960 32
469 1139 26
531 1418 24
140 1187 17
686 1501 38
712 1543 32
469 1257 18
757 1523 23
1182 1316 20
867 1325 31
854 1803 21
1150 1288 26
1329 1858 40
1138 1168 41
720 1334 33
755 1169 26
553 610 28
878 1488 32
19 444 27
555 842 35
1101 1646 45
1380 1588 24
1501 1611 38
1146 1375 44
1053 1407 37
708 945 34
1336 1891 38
967 1183 37
4 717 38
718 1993 28
875 1828 32
1034 1381 14
512 841 19
267 1642 33
27 351 34
628 836 36
619 701 33
330 693 33
576 1046 11
1012 1025 30
570 689 41
566 1020 32
848 1885 47
182 1387 50
995 1448 12
881 1523 27
557 577 30
115 525 29
1043 1724 23
121 1379 24
227 1666 44
1234 1518 36
468 967 29
274 1979 11
844 1638 13
1424 1530 32
21 708 22
20 269 12
1121 1963 29
343 637 38
537 1509 36
1623 1647 38
404 1795 35
285 963 24
1151 1783 25
508 1322 27
47 999 26
335 1973 24
1192 1291 27
163 737 34
203 861 15
911 1696 37
157 823 52
1241 1319 23
718 1100 29
521 1561 28
1351 1577 45
699 1813 18
282 1222 35
1173 1419 36
1496 1902 12
1594 1937 38
147 1160 13
587 1320 18
625 1028 29
343 1537 42
637 1270 38
1622 1748 42
887 1134 22
935 1129 16
55 686 27
328 1140 17
361 706 34
500 1871 20
170 1043 19
230 1585 46
573 1034 32
480 528 3
768 1457 36
558 1400 60
1338 1437 36
961 1947 25
467 727 33
131 695 31
416 1950 31
869 1356 43
1757 1859 9
1014 1509 22
401 674 33
1155 1692 26
485 1862 52
8 276 23
243 819 26
39 621 46
1574 1759 37
780 1458 40
734 850 48
466 1516 24
1496 1703 44
194 660 21
705 1909 24
1742 1836 19
1426 1626 23
958 1006 12
740 1266 46
870 1744 41
1538 1595 46
294 1702 50
186 340 33
541 1415 45
1248 1328 27
269 1478 46
763 1037 47
696 952 34
1110 1893 25
642 771 9
752 1023 13
291 484 41
716 1015 4
666 1900 31
1115 1530 32
436 637 20
479 1489 27
702 969 57
334 1855 31
114 799 17
119 169 14
646 828 19
272 635 34
1141 1372 18
475 1674 24
142 993 45
1400 1434 61
854 1897 21
699 1873 31
633 1825 29
1019 1704 3
35 1444 47
495 1178 30
1069 1999 21
1570 1660 22
1561 1772 38
106 897 40
1688 1767 12
579 1778 27
582 1504 14
245 1507 37
478 1556 33
550 768 25
1056 1091 19
720 964 20
210 1946 43
1520 1925 48
122 187 38
140 273 25
531 1634 27
832 1709 35
476 1879 49
49 1139 36
1523 1833 23
328 1074 39
189 218 23
277 1996 41
1319 1386 32
76 193 37
930 1275 20
1380 1510 38
1494 1768 27
242 523 27
440 555 15
1086 1432 44
1158 1478 26
229 877 18
1005 1612 38
847 1754 26
478 1723 38
320 1408 23
52 1953 25
666 1030 16
992 1368 43
547 1118 35
826 1296 25
539 1737 30
1243 1326 39
598 1401 23
1513 1977 26
565 1997 41
757 1930 28
408 583 48
659 960 28
359 1001 20
552 1117 41
647 915 38
67 742 6
741 1858 35
30 470 7
97 131 8
685 1044 42
644 1497 48
680 1154 40
91 571 29
408 1533 18
32 1159 28
719 953 21
1593 1597 15
1074 1569 44
582 1610 22
1556 1664 7
84 189 35
1210 1801 36
1618 1903 24
902 1689 32
285 426 19
902 1647 35
479 535 31
245 785 41
1732 1921 31
237 1426 24
1420 1739 27
1667 1688 33
1177 1592 34
226 1076 41
290 868 43
50 1854 38
859 1761 29
150 383 14
324 685 19
897 1313 29
284 660 17
655 1010 42
817 1973 34
1650 1810 23
194 749 51
281 405 32
521 860 36
789 1212 43
85 280 18
43 1066 29
555 1957 32
1348 1898 46
1008 1698 34
1703 1796 18
915 1233 43
118 1461 45
787 912 23
1642 1767 20
630 1812 10
54 1007 22
1707 1994 31
838 1436 12
146 394 16
126 394 15
919 1481 49
938 1684 32
507 518 31
1752 1962 46
1053 1321 14
625 1083 20
566 1261 54
1170 1439 45
785 1830 43
1438 1864 42
485 971 44
516 937 38
942 1766 35
344 580 10
1341 1479 25
33 1055 14
134 398 39
506 779 20
168 853 43
1300 1772 15
1456 1758 40
985 989 26
421 1406 11
195 796 25
335 1720 33
41 609 38
689 838 18
759 1273 24
546 914 15
1477 1512 9
584 1340 40
576 1343 32
43 958 41
37 516 27
296 493 26
671 1105 49
1268 1401 43
53 783 34
270 1387 44
1139 1640 39
