3000 17199
2052 2467 19
121 1977 22
126 2923 33
2164 2295 16
494 1916 35
448 739 28
818 1086 17
121 2200 30
74 1195 25
452 2393 21
1545 2277 35
388 2328 39
1083 2138 3
527 2634 35
779 2334 26
1805 2153 36
1793 2702 31
42 985 27
1381 1656 15
1122 1302 29
1026 2144 15
1147 2107 15
2315 2724 36
1118 1375 21
1872 2468 9
240 563 48
1843 1870 15
185 1976 30
1025 1821 11
325 1149 23
862 985 29
205 2094 23
518 1157 9
2241 2758 26
1411 2781 24
2209 2848 24
2010 2679 23
1435 2901 31
482 759 30
443 1791 27
936 1538 18
1534 2933 38
204 878 28
2549 2679 27
372 1980 33
409 1346 17
2521 2904 37
1381 2065 11
1378 1754 33
271 1034 8
635 2263 36
2641 2811 24
1511 2278 24
2447 2797 20
2534 2930 34
656 777 33
805 1454 10
1883 2294 5
2111 2607 25
621 1060 32
1790 2593 19
1197 2999 36
55 2121 27
310 2428 20
792 2933 23
1263 1883 5
358 1596 31
236 1428 46
1220 2050 27
493 2030 42
1007 2751 35
120 2906 36
149 804 20
924 1041 25
1643 2021 12
863 1221 20
1213 1568 8
284 1962 25
792 2329 30
1232 2704 17
1434 1915 26
624 786 53
1949 2435 33
1024 1162 27
216 2043 25
1510 1888 27
722 2104 19
979 2953 34
2 231 17
213 1428 50
11 1403 16
1171 2063 21
1933 2756 28
15 311 25
1317 2267 15
783 2719 33
1114 1749 24
886 1701 9
1494 2347 16
735 2943 15
1159 1915 24
1783 2930 18
959 1957 17
298 2026 35
311 1051 24
1362 2017 36
62 2084 23
93 1171 14
601 2190 32
1842 1856 18
24 2669 5
368 644 18
840 1791 32
943 1901 25
38 2326 28
1815 2752 28
1005 2183 28
121 1623 21
763 2832 30
64 534 28
1484 2903 21
1603 2155 16
548 2281 25
686 1300 48
2468 2789 32
1432 2053 16
1317 2711 32
572 771 10
519 674 33
1320 2940 1
1896 2986 24
2528 2745 22
706 1356 42
805 1442 26
438 606 12
1179 2553 25
1207 1301 31
1103 2977 24
1381 2703 28
907 1623 36
1922 2908 40
1347 2303 20
346 2395 42
984 1600 32
1 2209 24
1466 1610 38
483 2607 25
224 2613 29
505 2643 39
2303 2326 15
426 1655 37
1717 2545 16
1552 2475 45
2494 2556 29
2656 2995 21
1089 2593 22
858 1261 29
1851 2367 25
957 2420 26
1364 1386 38
464 2693 37
424 479 30
797 1232 31
400 541 43
514 1168 34
196 384 27
480 985 24
628 1531 39
1004 2498 28
1665 2334 32
28 1497 27
218 1834 19
82 1993 40
303 1844 33
457 2347 27
1731 1755 27
1695 1822 13
299 2673 8
832 2236 8
748 1926 22
220 229 31
2243 2822 20
10 167 34
672 1932 33
1631 2446 24
305 352 16
864 965 29
983 1970 25
1716 2652 7
1775 2160 12
1947 2176 33
696 2994 28
1972 2800 31
294 1423 30
539 2419 22
