2000 11476
350 1944 11
1134 1153 32
334 398 41
194 203 37
1168 1793 25
582 818 46
232 1762 32
848 1632 30
856 1604 18
978 1625 40
1123 1778 19
128 1511 43
1201 1925 49
45 490 26
1040 1896 46
101 1407 49
510 1817 42
391 1012 47
14 1019 34
164 458 49
1169 1275 8
211 1857 12
1785 1961 77
377 810 18
675 1647 42
297 1537 33
30 1305 27
53 1762 60
584 1453 36
1181 1771 55
723 1718 31
547 878 36
382 1226 53
1573 1918 42
816 1468 44
263 420 31
93 1290 16
1280 1897 24
956 1846 27
114 792 30
758 1434 20
273 900 42
953 1878 35
795 1120 32
714 1300 26
1568 1963 32
542 1606 19
370 1611 34
223 449 40
1819 1963 25
1483 1669 23
247 511 38
363 1988 55
899 1266 32
1280 1841 21
65 469 38
1688 1881 22
571 1212 36
32 663 39
482 1431 32
570 1215 17
377 1460 32
941 1800 26
1270 1852 41
1021 1782 44
1219 1840 21
1771 1950 43
40 934 27
393 694 37
1709 1929 17
154 1133 22
417 1302 34
536 1206 42
1169 1601 19
173 1137 24
1006 1036 12
91 294 13
105 1314 17
1305 1618 36
10 1710 34
61 1297 33
163 1497 56
794 1041 48
282 1929 46
575 1465 42
307 1333 38
501 506 38
647 792 21
183 1620 40
357 406 14
831 1827 32
425 1182 29
319 632 32
589 937 19
816 852 30
1358 1852 41
99 244 30
333 1711 41
115 157 34
222 1735 28
90 1946 26
1643 1788 29
356 1975 25
582 912 33
264 988 43
491 620 25
12 291 41
1209 1680 11
253 1180 27
460 950 29
635 879 42
523 1365 36
1568 1589 46
583 1069 45
96 958 28
1041 1852 32
1158 1965 35
1425 1441 31
152 315 25
1089 1730 34
394 1873 52
367 897 42
970 1932 14
268 1609 38
283 1164 44
1102 1127 12
464 1546 24
687 1691 11
800 1973 30
456 1507 19
1480 1569 29
364 1641 27
6 577 32
343 1081 42
1123 1960 11
247 1706 30
658 1511 28
496 749 26
684 1592 37
626 683 42
1396 1488 44
1335 1512 51
210 284 50
684 704 19
115 1381 27
1168 1978 5
212 1829 19
924 1521 48
481 863 41
832 1703 16
84 1452 36
1030 1564 35
1298 1832 25
320 1617 37
919 1395 35
321 476 31
419 1057 27
322 1646 31
384 829 39
95 1373 27
846 1067 50
963 1937 32
1432 1633 35
874 979 45
1549 1911 18
1305 1386 25
695 907 46
105 181 19
214 1197 42
1013 1938 17
1472 1650 38
759 1549 39
37 812 21
1479 1826 17
469 1799 44
310 1526 25
