3000 17101
120 301 8
185 2150 25
195 382 33
1382 1780 14
645 1971 20
801 912 9
133 243 15
869 2008 22
2107 2503 14
615 895 13
124 2186 12
1140 2211 22
2809 2834 23
459 1516 27
189 1987 32
423 964 35
1925 2051 31
105 757 16
160 859 38
2073 2678 39
1251 2704 32
289 1159 27
1443 1475 28
568 1686 29
207 1156 24
423 1637 20
842 2504 34
1375 2309 25
1193 2284 29
475 1540 20
1374 1538 30
679 1741 42
1463 1767 25
1464 1829 29
1689 1926 19
1275 2918 20
2433 2633 45
150 2754 31
1452 2818 30
1729 2842 50
500 1584 29
147 1085 26
436 533 16
526 2920 28
98 387 36
104 2002 31
762 1091 46
256 1204 26
1592 2538 13
881 2451 34
24 1177 5
2615 2716 43
1227 1294 10
2438 2502 28
673 988 21
1717 1767 19
1788 1830 5
977 1304 35
1526 1787 12
245 424 5
2193 2501 34
704 1611 19
1063 2952 30
440 2046 29
332 690 30
1017 1845 38
854 1702 20
1511 2264 18
624 2044 18
444 2368 21
821 1280 18
411 1969 34
1685 2571 14
993 2668 25
1385 2034 29
655 2944 34
478 1707 26
985 2254 18
1584 1626 35
510 533 37
643 2720 42
257 780 8
1175 2307 22
296 1762 16
350 2741 21
666 813 14
165 332 38
1391 2492 24
773 1397 22
1308 1637 33
871 1526 36
2314 2633 25
149 1051 18
1237 1647 37
1388 2282 41
1599 1802 8
207 2236 9
798 2972 13
1197 2760 33
1134 2962 18
527 1896 31
576 1532 36
2374 2734 23
505 744 23
2333 2577 13
467 1837 34
1214 2547 9
2637 2756 22
504 2483 38
7 649 30
196 306 10
1094 2678 21
488 2929 28
1101 1623 21
280 1780 33
2159 2700 15
2061 2253 19
960 980 32
158 1618 28
1377 1607 36
2385 2450 15
1500 2960 33
2202 2428 20
1194 1665 7
867 2545 27
349 1872 26
1517 2403 7
15 778 26
5 1862 29
1627 2445 20
1853 1955 15
1268 2760 20
2 1071 7
1695 2101 4
1655 1699 15
1540 2834 24
357 1922 45
556 2574 31
266 1690 20
791 1526 8
76 836 24
1709 2836 24
604 2196 20
1450 2200 36
1630 2271 43
237 1117 19
2130 2655 25
2674 2835 29
1286 1482 22
1855 2882 25
203 1907 27
2182 2599 26
2130 2351 28
1845 2328 14
1534 2303 18
1246 2675 41
1347 2633 16
1683 2523 15
1073 1644 42
604 611 10
2580 2959 35
448 2543 33
2102 2504 23
692 2622 7
327 1220 20
879 1893 38
33 2935 12
292 658 14
644 2355 24
1086 2854 38
1595 2077 32
1681 2781 30
163 654 23
1728 2263 28
60 1079 21
440 838 32
539 1187 43
1720 1848 32
286 815 36
473 1419 27
1906 2657 21
357 1382 50
735 1149 29
991 1393 27
1570 1684 27
506 1365 36
1971 2026 31
321 2065 39
735 1621 24
2343 2742 2
1632 2124 34
2263 2917 29
1251 1924 27
623 1097 31
1278 2199 13
915 1650 34
2397 2864 33
219 2956 19
2660 2752 32
535 2747 31
206 1379 23
1077 2992 22
675 1421 24
39 767 30
279 2184 24
1049 2552 25
47 2883 39
594 2648 4
1667 2127 25
2542 2551 40
148 1430 13
1764 2963 12
939 940 45
1281 2325 5
1777 2328 38
1871 2663 37
461 1982 14
879 2732 32
2359 2567 14
326 1021 28
1303 2977 17
1457 2107 29
1569 1673 26
1649 1897 4
534 2482 29
1870 2961 27
183 2734 23
1299 2504 14
1014 1991 12
157 2773 15
143 1349 8
802 1372 12
386 625 35
1322 1560 33
1282 2435 22
123 1648 17
2497 2970 33
2185 2392 29
702 1978 2
17 976 7
453 519 15
2031 2141 27
1073 2749 20
277 1210 32
901 1472 29
1063 2872 22
378 1414 13
85 2732 29
848 1468 14
2261 2346 17
430 923 18
840 2369 11
2395 2472 23
2127 2919 42
103 1701 27
851 1138 19
2049 2128 8
1889 2116 26
504 563 47
1594 2466 15
381 680 15
194 714 15
1753 2836 27
440 1330 39
1360 2540 28
1835 2033 21
877 2138 32
1010 2002 14
232 1037 33
680 2340 36
1501 2713 24
1662 2380 21
140 1789 30
2263 2969 30
512 1912 12
2553 2628 24
187 1544 18
1009 1147 25
656 1138 10
746 1062 30
93 2081 35
1411 2373 25
75 1173 38
230 2277 17
1506 1759 14
43 426 4
1120 2511 24
2035 2157 33
359 2833 19
860 865 25
1429 2518 36
1702 2972 26
1601 1791 36
235 563 23
810 2861 34
322 2318 33
137 344 15
1014 1983 26
1427 2263 18
892 2042 20
2026 2318 28
1911 2315 12
1229 2664 22
945 1082 22
2031 2817 30
480 1671 31
800 2925 35
302 1653 29
1182 2085 38
1491 1653 26
271 2987 31
23 2833 40
1009 1515 20
2188 2374 26
1439 2341 40
1415 2651 31
554 1985 4
2078 2855 21
941 2106 30
2049 2283 16
787 1997 31
735 2231 36
20 2456 35
227 989 33
959 2244 8
540 1427 24
2031 2113 35
683 2724 40
676 903 33
1071 2760 26
132 528 19
799 2812 19
448 2291 26
749 1105 27
212 1830 31
599 1288 16
539 1566 14
1133 1713 5
2009 2672 4
415 1010 34
2310 2721 23
976 1956 19
69 476 37
1103 2496 22
387 2407 36
605 2068 25
2304 2716 10
636 871 28
508 2510 16
1666 2259 35
202 351 29
121 2028 4
473 1034 16
983 2549 27
1787 2777 28
2355 2807 30
137 464 29
916 2001 24
1466 2460 21
1183 1873 20
1847 2893 7
1276 2262 20
797 1649 11
393 1818 13
898 2754 29
1222 1702 22
799 2666 22
194 1472 33
862 1659 24
1812 2818 32
2511 2996 6
475 2099 28
2763 2896 28
1146 1662 35
2612 2963 30
451 2211 34
1244 1830 34
2320 2442 16
575 2243 14
1632 1773 21
1288 2717 29
323 647 30
1414 2648 12
110 2053 19
2336 2548 7
574 967 32
682 2939 34
1842 2143 22
453 2115 14
951 1553 26
1335 2352 13
1307 1577 26
759 895 12
1993 2474 29
2228 2964 25
2527 2579 20
836 942 12
2211 2672 25
1109 2301 21
569 2885 27
1981 2470 40
996 2233 18
1234 2994 37
1231 1783 31
2085 2898 19
1506 2667 13
1137 1858 17
115 350 26
1542 2000 25
601 2808 28
180 2732 18
195 2051 13
2013 2907 33
139 1714 32
1328 2965 18
443 2119 31
1116 1154 24
1329 1944 27
45 1410 26
1163 2773 27
1050 2504 34
960 2155 30
1485 2105 16
717 1788 34
1352 2412 13
272 2196 26
1803 2785 26
2297 2986 39
1748 1929 30
460 2840 33
190 2594 14
442 2551 14
862 1080 37
260 2646 15
347 1690 25
519 2504 26
1092 1937 10
268 1167 41
174 1225 30
2076 2397 16
2161 2502 15
1672 2483 20
1389 2299 26
10 1643 48
51 463 29
289 2578 17
689 2579 20
691 2155 13
1060 2687 17
209 480 34
1841 1907 24
2295 2344 26
2288 2389 39
316 2158 34
1485 1934 26
803 2880 26
940 1018 10
37 422 16
127 394 33
75 944 15
1735 1754 27
1541 1868 23
112 1991 10
373 2785 19
100 692 26
337 2812 31
1221 2902 41
1482 2912 36
1428 2550 23
874 2668 9
129 1401 36
564 2659 25
740 981 37
1077 2466 31
1027 2436 18
1658 1817 16
69 2421 32
396 918 33
1820 2914 8
1099 2461 39
786 3000 30
1772 2802 41
1574 1804 24
767 1458 13
625 2257 8
1363 1760 20
1051 1522 34
1123 1372 17
2015 2459 32
900 1145 9
655 1390 34
657 1705 39
966 1206 37
38 2441 32
1103 1618 21
1485 1577 31
26 1033 24
294 2526 4
69 2608 16
947 2197 38
1513 2543 19
109 1852 28
1392 2203 32
391 1279 30
184 2886 31
2004 2998 16
1196 1604 18
530 1825 31
2488 2662 18
109 2164 34
1865 2273 36
565 1438 36
941 1011 14
612 2620 38
2144 2326 31
2348 2845 35
597 1146 25
1180 1328 23
2433 2816 34
2513 2577 22
1603 2737 21
68 2020 23
1530 2532 15
1112 1961 30
1253 2306 9
215 885 14
1739 2017 31
146 2525 27
2115 2504 22
773 2018 32
646 1453 29
917 2116 14
1147 1515 21
204 719 24
579 2787 27
289 347 30
309 944 21
501 2419 28
687 811 6
1279 2524 23
1680 2884 20
1371 2589 19
1793 2272 35
187 1264 19
1448 2145 22
1702 1959 28
2002 2233 17
743 2082 32
209 1856 17
40 817 7
1877 2819 25
1201 1694 34
1792 2108 24
1776 2255 34
587 903 27
2253 2692 29
1223 1725 15
1820 2640 24
2436 2968 21
380 2567 17
990 1634 22
1529 2759 10
1678 2523 20
2043 2506 26
441 2825 23
314 1738 25
535 951 27
108 2942 24
279 624 31
1548 2763 12
210 2842 21
355 2674 32
2302 2576 17
23 875 12
1417 2984 24
851 1656 13
414 1243 24
1097 2969 33
2379 2993 19
2264 2947 6
330 1730 29
144 2452 26
208 2300 10
1078 1783 24
2143 2218 15
984 1120 24
11 2665 35
308 1533 15
1241 2399 26
892 1167 33
1090 1444 24
1280 1566 34
44 1187 16
337 1501 27
174 1620 9
669 1481 15
1779 2033 20
233 2184 30
621 2900 4
2338 2426 30
791 1545 34
2334 2873 27
635 2381 30
621 2178 19
84 2818 29
1258 2621 28
288 1858 19
1836 2738 23
1086 2228 20
1406 1708 31
1856 1879 34
452 2612 16
2576 2814 12
722 2077 26
673 1166 29
737 820 30
2159 2400 35
639 1420 20
1003 1730 44
12 394 24
1800 2479 24
1407 2538 24
39 493 13
1700 1931 8
431 1757 26
312 886 30
2163 2964 18
321 1838 26
2670 2831 22
1084 2748 35
1459 2500 11
1723 2423 35
2173 2915 25
327 1919 34
40 383 34
663 1441 21
1657 2536 31
1681 2740 32
1552 2825 26
391 2524 28
312 1402 31
404 965 22
323 1045 10
162 1700 27
266 359 24
932 2250 5
2527 2566 15
771 904 13
1292 1788 16
839 2401 17
1463 2557 21
372 482 34
1131 2998 26
711 1434 3
1948 2135 39
653 2562 27
302 720 13
991 2430 36
416 807 33
818 1841 5
1289 2453 35
1621 1970 33
2324 2576 12
155 2386 22
135 2386 21
200 2613 32
439 1834 40
1214 1908 24
631 2087 5
1150 1481 36
1459 1808 26
1914 2925 40
810 1182 26
1704 2125 20
102 2881 18
378 594 8
235 2108 18
385 1507 21
1511 2168 29
383 2337 40
937 2239 26
1713 2451 5
891 2671 12
171 1216 35
536 2521 21
778 2488 22
1005 2780 20
640 2352 10
30 2467 16
2073 2153 37
1888 2737 26
18 2202 23
79 2805 27
191 2413 21
2256 2850 22
2722 2979 31
1031 2839 41
760 880 28
926 1009 28
226 1445 17
357 1223 46
1890 2543 16
217 799 27
468 556 33
1069 1940 17
736 2479 7
995 1437 27
1786 2988 23
1026 2849 37
716 727 32
1263 2949 20
2266 2910 3
267 1505 30
493 2975 33
334 1287 5
447 1509 10
12 719 39
816 1324 27
845 2974 35
1485 2134 21
886 1295 16
1651 2000 21
310 710 31
329 2933 36
1943 2521 8
651 1943 11
760 1044 28
389 2196 12
1762 2806 26
1170 2118 25
994 1393 17
209 630 33
1849 2214 20
223 1489 39
1655 2261 26
678 2841 37
1684 2494 20
1910 2152 17
213 1566 12
146 2345 17
1013 2457 36
1503 2907 38
175 683 7
1126 1918 41
629 924 10
505 1313 23
944 2054 43
425 2283 25
309 2784 33
669 2345 28
439 2780 25
881 1397 38
492 2104 15
1840 2030 17
438 682 22
1403 1738 2
153 925 40
392 2971 9
104 1665 26
1994 2293 29
293 467 17
441 2872 19
1365 2766 32
1127 1165 36
1983 2619 13
1223 2802 41
1195 2665 45
2152 2241 21
812 2511 12
2214 2255 44
1544 2449 17
1 2239 39
338 1066 20
